大專校院各校科系別概況										
105 學年度 SY2016-2017										
學校代碼	學校名稱	科系代碼	科系名稱	日間∕進修別	等級別	學生數	教師數	上學年度畢業生數	縣市名稱	體系別
0009	國立中山大學	440301	物理學系	D 日	M 碩士	71	0	32	50 高雄市	1 一般
0009	國立中山大學	440301	物理學系	D 日	B 學士	211	21	49	50 高雄市	1 一般
0009	國立中山大學	440501	海洋生物(科技)(暨資源)(技術)系	D 日	B 學士	169	14	34	50 高雄市	1 一般
0009	國立中山大學	440508	海洋(科學)學系	D 日	M 碩士	49	0	22	50 高雄市	1 一般
0009	國立中山大學	440508	海洋(科學)學系	D 日	B 學士	132	21	22	50 高雄市	1 一般
0009	國立中山大學	460102	應用數學系	D 日	B 學士	203	18	52	50 高雄市	1 一般
0009	國立中山大學	480109	資訊管理(技術)學系	D 日	M 碩士	109	0	46	50 高雄市	1 一般
0009	國立中山大學	480109	資訊管理(技術)學系	D 日	B 學士	203	20	44	50 高雄市	1 一般
0009	國立中山大學	480109	資訊管理(技術)學系	N 職	M 碩士	73	0	27	50 高雄市	1 一般
0009	國立中山大學	520101	電機(與控制)工程學系	D 日	M 碩士	329	0	107	50 高雄市	1 一般
0009	國立中山大學	520101	電機(與控制)工程學系	D 日	B 學士	451	35	107	50 高雄市	1 一般
0009	國立中山大學	520106	光電(科學與)工程學系	D 日	M 碩士	115	0	50	50 高雄市	1 一般
0009	國立中山大學	520106	光電(科學與)工程學系	D 日	B 學士	176	15	30	50 高雄市	1 一般
0009	國立中山大學	520114	資訊工程學系	D 日	M 碩士	220	0	51	50 高雄市	1 一般
0009	國立中山大學	520114	資訊工程學系	D 日	B 學士	234	20	44	50 高雄市	1 一般
0009	國立中山大學	520226	(機械與)機電工程學系	D 日	M 碩士	201	0	83	50 高雄市	1 一般
0012	國立臺灣海洋大學	520114	資訊工程學系	D 日	B 學士	464	27	106	17 基隆市	1 一般
0012	國立臺灣海洋大學	520125	通訊與導航工程學系	D 日	M 碩士	54	0	25	17 基隆市	1 一般
0012	國立臺灣海洋大學	520125	通訊與導航工程學系	D 日	B 學士	205	13	46	17 基隆市	1 一般
0012	國立臺灣海洋大學	520212	系統工程暨造船學系	D 日	M 碩士	59	0	30	17 基隆市	1 一般
0012	國立臺灣海洋大學	520212	系統工程暨造船學系	D 日	B 學士	234	17	63	17 基隆市	1 一般
0012	國立臺灣海洋大學	520214	輪機工程學系	D 日	B 學士	435	15	107	17 基隆市	1 一般
0012	國立臺灣海洋大學	520226	(機械與)機電工程學系	D 日	M 碩士	89	0	30	17 基隆市	1 一般
0012	國立臺灣海洋大學	520226	(機械與)機電工程學系	D 日	B 學士	423	25	97	17 基隆市	1 一般
0012	國立臺灣海洋大學	521001	河海工程學系	D 日	M 碩士	83	0	44	17 基隆市	1 一般
0012	國立臺灣海洋大學	521001	河海工程學系	D 日	B 學士	355	27	94	17 基隆市	1 一般
0012	國立臺灣海洋大學	521001	河海工程學系	N 職	M 碩士	63	0	23	17 基隆市	1 一般
0012	國立臺灣海洋大學	529989	工程類第二專長學位學程	N 修	X 4+X	74	0	29	17 基隆市	1 一般
0012	國立臺灣海洋大學	620601	食品科學系	D 日	M 碩士	139	0	61	17 基隆市	1 一般
0013	國立中正大學	310101	經濟學系	D 日	B 學士	414	20	97	10 嘉義縣	1 一般
0013	國立中正大學	310201	政治學系	D 日	B 學士	187	13	49	10 嘉義縣	1 一般
0013	國立中正大學	310201	政治學系	N 職	M 碩士	71	0	28	10 嘉義縣	1 一般
